nbSms,nbCalls,cumulativeCallDuration,averageCallDuration,isWeekDay,timeInDay,contactType
11,0,0,3.0,1,2,AMI
6,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
4,0,0,3.0,1,0,AMI
2,0,0,3.0,1,2,AMI
3,0,0,3.0,1,2,AMI
12,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
0,1,1,1.0,1,0,AMI
0,1,7,7.0,1,0,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
2,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
3,0,0,3.0,1,0,AMI
5,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
0,1,90,90.0,1,1,AMI
8,0,0,3.0,1,1,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,FAMILLE
3,0,0,3.0,1,2,FAMILLE
1,0,0,3.0,0,0,FAMILLE
0,1,710,710.0,0,2,FAMILLE
2,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,0,0,AMI
2,0,0,3.0,0,2,AMI
1,0,0,3.0,1,0,AMI
3,0,0,3.0,1,0,AMI
1,0,0,3.0,0,2,AMI
1,0,0,3.0,1,2,AMI
3,0,0,3.0,1,1,AMI
16,0,0,3.0,1,2,AMI
3,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
5,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
4,0,0,3.0,1,0,AMI
1,0,0,3.0,0,2,AMI
1,0,0,3.0,1,2,AMI
4,0,0,3.0,1,2,AMI
10,0,0,3.0,1,2,AMI
2,0,0,3.0,1,2,AMI
2,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
11,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
5,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
2,0,0,3.0,1,2,AMI
9,0,0,3.0,1,2,AMI
6,0,0,3.0,1,0,AMI
15,0,0,3.0,1,0,AMI
19,0,0,3.0,1,0,AMI
1,0,0,3.0,0,2,AMI
3,0,0,3.0,1,2,AMI
4,0,0,3.0,1,1,AMI
3,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
5,0,0,3.0,0,0,AMI
1,0,0,3.0,0,2,AMI
4,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
11,0,0,3.0,1,1,AMI
1,0,0,3.0,1,2,AMI
2,0,0,3.0,1,1,AMI
13,0,0,3.0,1,0,AMI
7,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,2,AMI
2,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
3,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
4,0,0,3.0,1,0,AMI
5,0,0,3.0,1,0,AMI
9,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
7,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
2,0,0,3.0,1,2,AMI
23,0,0,3.0,1,2,AMI
1,0,0,3.0,0,1,AMI
4,0,0,3.0,1,0,AMI
5,0,0,3.0,1,1,AMI
0,2,228,114.0,0,1,AMI
1,0,0,3.0,1,0,AMI
0,1,0,0.0,0,1,AMI
1,1,97,97.0,0,0,AMI
9,0,0,3.0,0,0,AMI
12,0,0,3.0,1,0,AMI
5,0,0,3.0,1,0,AMI
0,5,246,49.2,1,2,AMI
13,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
0,1,65,65.0,0,1,AMI
1,0,0,3.0,1,0,AMI
2,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
0,1,29,29.0,1,2,AMI
8,0,0,3.0,1,0,AMI
0,2,74,37.0,1,2,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
2,4,198,49.5,0,0,AMI
0,1,22,22.0,0,2,AMI
8,0,0,3.0,1,2,AMI
6,0,0,3.0,1,2,AMI
11,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
1,0,0,3.0,1,2,AMI
2,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
3,0,0,3.0,0,0,AMI
2,0,0,3.0,0,2,AMI
0,3,421,140.33333,0,2,AMI
0,2,2,1.0,1,2,AMI
1,4,304,76.0,0,0,AMI
1,1,0,0.0,0,0,AMI
4,0,0,3.0,0,2,AMI
1,2,99,49.5,0,0,AMI
2,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
0,1,34,34.0,1,2,AMI
0,2,273,136.5,0,2,AMI
10,0,0,3.0,1,0,AMI
0,1,0,0.0,1,1,AMI
0,2,87,43.5,1,2,AMI
0,1,251,251.0,0,0,AMI
1,1,39,39.0,0,2,AMI
1,0,0,3.0,0,2,AMI
0,2,31,15.5,1,2,AMI
0,1,71,71.0,0,1,AMI
0,2,177,88.5,1,2,AMI
0,1,6,6.0,1,1,AMI
0,1,40,40.0,0,0,AMI
0,1,35,35.0,0,1,AMI
0,1,231,231.0,1,2,AMI
3,1,475,475.0,0,1,AMI
1,0,0,3.0,0,0,AMI
0,4,52,13.0,0,2,FAMILLE
0,1,0,0.0,1,0,FAMILLE
0,1,31,31.0,1,1,FAMILLE
2,0,0,3.0,1,0,AMI
18,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
13,0,0,3.0,1,0,AMI
4,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
8,0,0,3.0,1,0,AMI
5,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
3,0,0,3.0,1,1,AMI
3,0,0,3.0,1,1,AMI
3,0,0,3.0,1,0,AMI
2,0,0,3.0,1,1,AMI
10,0,0,3.0,1,1,AMI
3,0,0,3.0,1,0,AMI
6,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
5,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
5,0,0,3.0,1,1,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
2,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
2,0,0,3.0,1,1,AMI
10,0,0,3.0,1,0,AMI
11,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
11,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
2,0,0,3.0,0,1,AMI
2,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
2,0,0,3.0,1,1,AMI
6,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
9,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
3,0,0,3.0,1,1,AMI
3,0,0,3.0,1,2,AMI
3,0,0,3.0,1,1,AMI
5,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
3,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
2,0,0,3.0,1,1,AMI
3,0,0,3.0,1,0,AMI
6,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
5,0,0,3.0,1,0,AMI
3,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
4,0,0,3.0,1,1,AMI
3,0,0,3.0,1,2,AMI
8,0,0,3.0,0,0,AMI
4,0,0,3.0,0,0,AMI
4,0,0,3.0,0,1,AMI
4,0,0,3.0,0,2,AMI
3,0,0,3.0,1,1,AMI
3,0,0,3.0,1,2,AMI
16,0,0,3.0,1,0,AMI
3,0,0,3.0,1,0,AMI
2,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
6,0,0,3.0,1,1,AMI
5,0,0,3.0,1,1,AMI
3,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
5,0,0,3.0,1,1,AMI
5,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
1,0,0,3.0,1,1,AMI
3,0,0,3.0,1,0,AMI
5,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
3,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
3,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,2,AMI
23,0,0,3.0,1,1,AMI
9,0,0,3.0,1,2,AMI
6,0,0,3.0,0,2,AMI
4,0,0,3.0,1,0,AMI
2,0,0,3.0,1,1,AMI
2,0,0,3.0,1,2,AMI
4,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
10,0,0,3.0,1,0,AMI
5,0,0,3.0,1,0,AMI
4,0,0,3.0,1,1,AMI
5,0,0,3.0,1,2,AMI
13,0,0,3.0,1,2,AMI
5,0,0,3.0,1,1,AMI
6,0,0,3.0,1,0,AMI
3,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
4,0,0,3.0,1,0,AMI
3,0,0,3.0,1,1,AMI
4,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
2,0,0,3.0,1,1,AMI
14,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
6,0,0,3.0,1,1,AMI
3,0,0,3.0,1,1,AMI
1,0,0,3.0,1,2,AMI
2,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
4,0,0,3.0,1,0,AMI
2,0,0,3.0,1,2,AMI
21,0,0,3.0,1,2,AMI
8,0,0,3.0,1,1,AMI
0,1,21,21.0,1,1,AMI
0,1,90,90.0,1,2,AMI
1,0,0,3.0,1,0,AMI
0,3,34,11.333333,1,1,AMI
0,1,48,48.0,0,0,AMI
0,1,55,55.0,0,1,AMI
3,0,0,3.0,1,0,AMI
0,1,27,27.0,1,2,AMI
3,0,0,3.0,1,1,AMI
7,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,1,AMI
4,0,0,3.0,1,1,AMI
0,1,0,0.0,1,0,AMI
3,0,0,3.0,1,2,AMI
0,4,88,22.0,0,1,AMI
5,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
4,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
0,2,218,109.0,0,1,AMI
0,2,88,44.0,0,1,AMI
0,1,32,32.0,1,1,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
0,2,60,30.0,0,1,AMI
2,0,0,3.0,1,1,AMI
1,2,34,17.0,1,1,AMI
0,1,45,45.0,1,0,AMI
0,1,12,12.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
13,0,0,3.0,1,0,AMI
4,0,0,3.0,1,0,AMI
3,0,0,3.0,1,1,AMI
0,6,260,43.333332,0,1,AMI
0,1,0,0.0,0,1,AMI
2,0,0,3.0,1,0,AMI
3,0,0,3.0,1,2,AMI
0,1,0,0.0,1,2,AMI
0,1,39,39.0,1,2,AMI
1,1,8,8.0,1,2,AMI
0,2,0,0.0,1,2,AMI
0,1,2,2.0,1,2,AMI
0,1,20,20.0,1,1,AMI
4,0,0,3.0,1,2,AMI
3,0,0,3.0,1,2,AMI
0,1,29,29.0,1,2,AMI
2,0,0,3.0,0,0,AMI
0,1,61,61.0,1,2,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
0,4,46,11.5,1,1,AMI
0,1,0,0.0,1,0,AMI
0,1,0,0.0,1,0,AMI
0,1,0,0.0,1,2,AMI
1,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
0,3,39,13.0,1,2,AMI
1,2,84,42.0,1,2,AMI
1,1,111,111.0,1,2,AMI
0,1,22,22.0,1,0,AMI
0,2,17,8.5,1,2,AMI
3,0,0,3.0,1,2,AMI
0,4,307,76.75,0,0,AMI
1,0,0,3.0,0,0,AMI
3,0,0,3.0,0,0,AMI
0,1,44,44.0,0,2,AMI
0,2,179,89.5,0,1,AMI
0,1,2,2.0,1,1,AMI
0,1,0,0.0,1,2,AMI
0,2,4,2.0,0,0,AMI
0,3,2,0.6666667,1,1,AMI
0,1,19,19.0,1,1,AMI
0,1,14,14.0,1,2,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,0,2,AMI
1,0,0,3.0,0,2,AMI
2,0,0,3.0,0,2,AMI
1,0,0,3.0,1,0,AMI
16,0,0,3.0,1,0,AMI
2,0,0,3.0,0,2,AMI
1,0,0,3.0,1,1,AMI
7,0,0,3.0,1,1,AMI
1,0,0,3.0,1,1,AMI
5,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
5,0,0,3.0,0,1,AMI
23,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
9,0,0,3.0,1,2,AMI
5,0,0,3.0,0,2,AMI
0,1,59,59.0,0,0,AMI
0,1,0,0.0,1,2,AMI
2,1,116,116.0,1,2,AMI
0,2,1016,508.0,1,2,AMI
0,1,160,160.0,1,2,AMI
0,1,199,199.0,1,1,AMI
0,2,832,416.0,1,2,AMI
1,2,89,44.5,0,0,AMI
2,0,0,3.0,0,0,AMI
2,0,0,3.0,1,1,AMI
5,0,0,3.0,1,1,AMI
0,1,85,85.0,1,0,AMI
0,1,25,25.0,1,2,AMI
6,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
2,0,0,3.0,1,2,AMI
1,0,0,3.0,0,2,AMI
2,0,0,3.0,0,2,AMI
1,0,0,3.0,0,0,AMI
2,0,0,3.0,0,0,AMI
11,0,0,3.0,1,0,AMI
8,0,0,3.0,1,0,AMI
5,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
2,0,0,3.0,1,1,COLLEGUE
0,1,39,39.0,1,0,COLLEGUE
0,1,59,59.0,1,0,COLLEGUE
1,0,0,3.0,1,1,FAMILLE
2,0,0,3.0,1,0,FAMILLE
2,0,0,3.0,1,0,FAMILLE
3,0,0,3.0,1,2,FAMILLE
1,0,0,3.0,1,2,FAMILLE
2,0,0,3.0,0,0,FAMILLE
1,0,0,3.0,1,0,FAMILLE
8,0,0,3.0,1,0,FAMILLE
3,0,0,3.0,1,0,FAMILLE
2,0,0,3.0,1,0,FAMILLE
1,0,0,3.0,1,2,FAMILLE
1,0,0,3.0,1,2,FAMILLE
3,0,0,3.0,1,2,FAMILLE
1,0,0,3.0,1,0,FAMILLE
12,0,0,3.0,1,0,FAMILLE
5,0,0,3.0,1,1,FAMILLE
1,0,0,3.0,1,1,FAMILLE
5,0,0,3.0,1,0,FAMILLE
12,0,0,3.0,1,0,FAMILLE
3,0,0,3.0,1,1,FAMILLE
2,0,0,3.0,1,2,FAMILLE
2,0,0,3.0,1,1,FAMILLE
1,0,0,3.0,0,0,FAMILLE
1,0,0,3.0,0,0,FAMILLE
1,0,0,3.0,1,2,FAMILLE
3,0,0,3.0,1,2,FAMILLE
1,0,0,3.0,1,1,FAMILLE
1,0,0,3.0,1,2,FAMILLE
4,0,0,3.0,1,0,FAMILLE
7,0,0,3.0,1,0,FAMILLE
1,0,0,3.0,0,1,FAMILLE
2,0,0,3.0,1,1,FAMILLE
1,0,0,3.0,1,1,FAMILLE
7,0,0,3.0,1,0,FAMILLE
2,0,0,3.0,1,0,FAMILLE
7,0,0,3.0,1,1,FAMILLE
1,0,0,3.0,1,0,FAMILLE
1,0,0,3.0,1,2,FAMILLE
1,0,0,3.0,0,1,FAMILLE
0,1,269,269.0,1,2,FAMILLE
0,3,183,61.0,0,0,FAMILLE
0,1,161,161.0,0,1,FAMILLE
1,0,0,3.0,0,0,FAMILLE
0,1,0,0.0,0,2,FAMILLE
0,1,182,182.0,1,2,FAMILLE
4,0,0,3.0,1,0,FAMILLE
0,1,17,17.0,1,1,FAMILLE
0,1,44,44.0,0,1,FAMILLE
0,1,148,148.0,1,2,FAMILLE
0,1,99,99.0,0,1,FAMILLE
0,1,124,124.0,0,1,FAMILLE
0,8,213,26.625,0,1,FAMILLE
0,1,76,76.0,1,2,FAMILLE
2,0,0,3.0,1,0,FAMILLE
0,2,268,134.0,0,1,FAMILLE
0,1,117,117.0,1,2,FAMILLE
1,0,0,3.0,1,2,FAMILLE
2,0,0,3.0,1,0,FAMILLE
0,1,516,516.0,0,2,FAMILLE
0,2,150,75.0,0,1,FAMILLE
0,1,93,93.0,1,2,FAMILLE
0,2,140,70.0,1,2,FAMILLE
0,2,98,49.0,0,1,FAMILLE
2,3,128,42.666668,1,1,FAMILLE
0,1,429,429.0,1,2,FAMILLE
0,1,346,346.0,1,2,FAMILLE
1,0,0,3.0,1,2,FAMILLE
1,0,0,3.0,1,1,FAMILLE
0,2,74,37.0,1,2,FAMILLE
0,5,209,41.8,1,1,FAMILLE
0,2,56,28.0,1,0,FAMILLE
0,1,216,216.0,1,2,FAMILLE
0,1,859,859.0,1,2,FAMILLE
0,1,106,106.0,0,0,FAMILLE
0,1,88,88.0,1,2,FAMILLE
0,1,0,0.0,1,2,FAMILLE
0,2,122,61.0,1,2,FAMILLE
0,1,956,956.0,1,2,FAMILLE
0,1,463,463.0,1,2,FAMILLE
0,1,730,730.0,1,2,FAMILLE
0,1,513,513.0,0,2,FAMILLE
0,2,86,43.0,0,1,FAMILLE
0,1,469,469.0,1,2,FAMILLE
0,1,703,703.0,1,2,FAMILLE
0,1,505,505.0,1,2,FAMILLE
0,1,280,280.0,0,0,FAMILLE
0,1,200,200.0,0,0,FAMILLE
2,0,0,3.0,0,2,FAMILLE
0,1,142,142.0,1,0,FAMILLE
2,0,0,3.0,1,0,FAMILLE
1,0,0,3.0,1,1,FAMILLE
0,1,468,468.0,1,1,FAMILLE
0,1,273,273.0,1,0,FAMILLE
0,1,66,66.0,1,0,FAMILLE
0,1,329,329.0,1,2,FAMILLE
0,2,557,278.5,0,1,FAMILLE
0,1,104,104.0,1,2,FAMILLE
0,1,31,31.0,1,2,FAMILLE
0,1,99,99.0,1,2,FAMILLE
0,1,54,54.0,0,1,FAMILLE
0,1,36,36.0,1,2,FAMILLE
3,0,0,3.0,1,0,FAMILLE
1,0,0,3.0,1,1,FAMILLE
0,1,366,366.0,1,2,FAMILLE
0,1,43,43.0,0,0,FAMILLE
0,3,333,111.0,1,2,FAMILLE
0,2,291,145.5,1,2,FAMILLE
0,2,198,99.0,1,2,FAMILLE
0,1,39,39.0,1,2,FAMILLE
0,1,0,0.0,1,2,FAMILLE
0,1,0,0.0,0,2,FAMILLE
0,1,13,13.0,0,2,FAMILLE
0,2,92,46.0,1,2,FAMILLE
0,1,59,59.0,1,0,FAMILLE
0,2,20,10.0,1,1,FAMILLE
0,1,55,55.0,1,0,FAMILLE
0,2,42,21.0,1,2,FAMILLE
0,1,20,20.0,1,2,FAMILLE
0,1,0,0.0,0,1,FAMILLE
0,1,78,78.0,0,0,FAMILLE
0,3,29,9.666667,1,2,FAMILLE
0,1,123,123.0,1,2,FAMILLE
0,1,22,22.0,0,2,FAMILLE
0,1,173,173.0,0,2,FAMILLE
0,1,158,158.0,1,2,FAMILLE
0,6,17,2.8333333,1,2,FAMILLE
0,1,20,20.0,1,0,FAMILLE
0,1,32,32.0,1,0,FAMILLE
0,1,0,0.0,1,2,FAMILLE
0,1,88,88.0,0,1,FAMILLE
0,1,23,23.0,0,0,FAMILLE
0,1,39,39.0,1,1,FAMILLE
0,1,18,18.0,1,2,FAMILLE
0,2,95,47.5,0,0,FAMILLE
0,1,68,68.0,0,2,FAMILLE
0,1,25,25.0,1,2,FAMILLE
0,1,267,267.0,1,2,FAMILLE
0,1,47,47.0,1,2,FAMILLE
0,1,54,54.0,1,2,FAMILLE
0,1,21,21.0,1,2,FAMILLE
0,3,146,48.666668,0,2,FAMILLE
1,0,0,3.0,1,1,FAMILLE
0,1,1459,1459.0,0,2,FAMILLE
0,1,785,785.0,1,2,FAMILLE
0,1,0,0.0,1,2,FAMILLE
0,1,131,131.0,1,2,FAMILLE
0,2,11,5.5,1,2,FAMILLE
0,2,116,58.0,1,1,FAMILLE
0,1,8,8.0,0,0,FAMILLE
0,2,4,2.0,0,0,FAMILLE
0,1,492,492.0,0,2,FAMILLE
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
1,0,0,3.0,1,1,AMI
4,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
2,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
4,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
8,0,0,3.0,0,1,AMI
4,0,0,3.0,0,1,AMI
5,0,0,3.0,0,0,AMI
4,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
6,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
2,0,0,3.0,1,2,AMI
